file_off	va	string
0x3B57	0x3F403B57	pxRingbuffer->pucWrite <= pxRingbuffer->pucHead + pxRingbuffer->xSize
0x3B9D	0x3F403B9D	*pvItem2 < *pvItem1
0x3BB1	0x3F403BB1	xIsSplit == ( ( BaseType_t ) 0 )
0x3BD2	0x3F403BD2	(uint8_t *)pucItem >= pxRingbuffer->pucHead
0x3BFE	0x3F403BFE	(uint8_t *)pucItem < pxRingbuffer->pucTail
0x3C29	0x3F403C29	xReturn <= pxRingbuffer->xSize
0x3C48	0x3F403C48	xBufferSize > 0
0x3C58	0x3F403C58	xBufferType < RINGBUF_TYPE_MAX
0x3C77	0x3F403C77	pxRingbuffer
0x3C84	0x3F403C84	ppvItem != ((void *)0) || xItemSize == 0
0x3CAD	0x3F403CAD	(pxRingbuffer->uxRingbufferFlags & (( ( UBaseType_t ) 2 ) | ( ( UBaseType_t ) 1 ))) == 0
0x3D06	0x3F403D06	pvItem != ((void *)0)
0x3D1C	0x3F403D1C	pxRingbuffer->uxRingbufferFlags & ( ( UBaseType_t ) 2 )
0x3D54	0x3F403D54	xRingbufferGetMaxItemSize
0x3D6E	0x3F403D6E	vRingbufferDelete
0x3D80	0x3F403D80	vRingbufferReturnItemFromISR
0x3D9D	0x3F403D9D	vRingbufferReturnItem
0x3DB3	0x3F403DB3	xRingbufferReceiveUpToFromISR
0x3DD1	0x3F403DD1	prvReceiveGenericFromISR
0x3DEA	0x3F403DEA	xRingbufferReceiveFromISR
0x3E04	0x3F403E04	prvReceiveGeneric
0x3E16	0x3F403E16	xRingbufferReceive
0x3E29	0x3F403E29	xRingbufferSendFromISR
0x3E40	0x3F403E40	xRingbufferSend
0x3E50	0x3F403E50	prvGetFreeSize
0x3E5F	0x3F403E5F	prvCheckItemFitsDefault
0x3E77	0x3F403E77	prvSendItemDoneNoSplit
0x3E8E	0x3F403E8E	prvAcquireItemNoSplit
0x3EA4	0x3F403EA4	prvGetItemDefault
0x3EB6	0x3F403EB6	prvReturnItemDefault
0x3ECB	0x3F403ECB	prvCopyItemAllowSplit
0x3EE1	0x3F403EE1	prvCheckItemFitsByteBuffer
0x3EFC	0x3F403EFC	prvCopyItemByteBuf
0x3F0F	0x3F403F0F	prvGetItemByteBuf
0x3F21	0x3F403F21	prvReturnItemByteBuf
0x3F36	0x3F403F36	xRingbufferCreate
0x3F64	0x3F403F64	GPIO number error
0x3F76	0x3F403F76	"(Cannot use REG_WRITE for DPORT registers use DPORT_REG_WRITE)" && (!(((((0x3ff44000 + 0x0530) + (gpio_num * 4))) >= 0x3ff00000) && (((0x3ff44000 + 0x0530) + (gpio_num * 4))) <= 0x3ff13FFC))
0x4066	0x3F404066	"(Cannot use SET_PERI_REG_MASK for DPORT registers use DPORT_SET_PERI_REG_MASK)" && (!((((GPIO_PIN_MUX_REG[gpio_num])) >= 0x3ff00000) && ((GPIO_PIN_MUX_REG[gpio_num])) <= 0x3ff13FFC))
0x411E	0x3F40411E	GPIO output gpio_num error
0x4139	0x3F404139	"(Cannot use REG_SET_BIT for DPORT registers use DPORT_REG_SET_BIT)" && (!((((GPIO_PIN_MUX_REG[gpio_num])) >= 0x3ff00000) && ((GPIO_PIN_MUX_REG[gpio_num])) <= 0x3ff13FFC))
0x41E5	0x3F4041E5	GPIO interrupt type error
0x41FF	0x3F4041FF	GPIO pull mode error
0x428D	0x3F40428D	io_reg != (intptr_t)NULL
0x42C4	0x3F4042C4	"(Cannot use SET_PERI_REG_MASK for DPORT registers use DPORT_SET_PERI_REG_MASK)" && (!((((GPIO_PIN_MUX_REG[gpio])) >= 0x3ff00000) && ((GPIO_PIN_MUX_REG[gpio])) <= 0x3ff13FFC))
0x4374	0x3F404374	gpio_ll_iomux_in
0x4385	0x3F404385	gpio_ll_iomux_func_sel
0x439C	0x3F40439C	gpio_config
0x43A8	0x3F4043A8	gpio_od_disable
0x43B8	0x3F4043B8	gpio_od_enable
0x43C7	0x3F4043C7	gpio_ll_output_disable
0x43DE	0x3F4043DE	gpio_output_disable
0x43F2	0x3F4043F2	gpio_output_enable
0x4405	0x3F404405	gpio_input_disable
0x4418	0x3F404418	gpio_ll_input_enable
0x442D	0x3F40442D	gpio_input_enable
0x443F	0x3F40443F	gpio_set_direction
0x4452	0x3F404452	gpio_set_pull_mode
0x4465	0x3F404465	gpio_set_level
0x4474	0x3F404474	gpio_intr_disable
0x4486	0x3F404486	gpio_intr_enable_on_core
0x449F	0x3F40449F	gpio_intr_enable
0x44B0	0x3F4044B0	gpio_set_intr_type
0x44C3	0x3F4044C3	gpio_pulldown_dis
0x44D5	0x3F4044D5	gpio_ll_pulldown_en
0x44E9	0x3F4044E9	gpio_pulldown_en
0x44FA	0x3F4044FA	gpio_pullup_dis
0x450A	0x3F40450A	gpio_ll_pullup_en
0x451C	0x3F40451C	gpio_pullup_en
0x452B	0x3F40452B	HPTaskAwoken != NULL
0x45DC	0x3F4045DC	cmd_desc != NULL
0x45ED	0x3F4045ED	cmd_desc->cur != NULL
0x496D	0x3F40496D	i2c_master_cmd_begin
0x4982	0x3F404982	i2c_master_write_byte
0x4998	0x3F404998	i2c_master_write
0x49A9	0x3F4049A9	i2c_master_stop
0x49B9	0x3F4049B9	i2c_cmd_link_append
0x49CD	0x3F4049CD	i2c_master_start
0x49DE	0x3F4049DE	gpio_ll_iomux_func_sel
0x49F5	0x3F4049F5	i2c_set_pin
0x4A01	0x3F404A01	i2c_isr_register
0x4A12	0x3F404A12	i2c_set_timeout
0x4A22	0x3F404A22	i2c_param_config
0x4A33	0x3F404A33	i2c_reset_rx_fifo
0x4A45	0x3F404A45	i2c_reset_tx_fifo
0x4A57	0x3F404A57	i2c_driver_delete
0x4A69	0x3F404A69	i2c_master_cmd_begin_static
0x4A85	0x3F404A85	i2c_driver_install
0x4A98	0x3F404A98	periph < PERIPH_MODULE_MAX
0x4AD8	0x3F404AD8	periph_module_reset
0x4AEC	0x3F404AEC	periph_module_disable
0x4B02	0x3F404B02	periph_module_enable
0x4B17	0x3F404B17	RTCIO
0x4B44	0x3F404B44	"(Cannot use SET_PERI_REG_MASK for DPORT registers use DPORT_SET_PERI_REG_MASK)" && (!((((rtc_io_desc[rtcio_num].reg)) >= 0x3ff00000) && ((rtc_io_desc[rtcio_num].reg)) <= 0x3ff13FFC))
0x4C2E	0x3F404C2E	"(Cannot use CLEAR_PERI_REG_MASK for DPORT registers use DPORT_CLEAR_PERI_REG_MASK)" && (!((((rtc_io_desc[rtcio_num].reg)) >= 0x3ff00000) && ((rtc_io_desc[rtcio_num].reg)) <= 0x3ff13FFC))
0x4CEA	0x3F404CEA	rtcio_ll_pulldown_disable
0x4D04	0x3F404D04	rtc_gpio_pulldown_dis
0x4D1A	0x3F404D1A	rtcio_ll_pulldown_enable
0x4D33	0x3F404D33	rtc_gpio_pulldown_en
0x4D48	0x3F404D48	rtcio_ll_pullup_disable
0x4D60	0x3F404D60	rtc_gpio_pullup_dis
0x4D74	0x3F404D74	rtcio_ll_pullup_enable
0x4D8B	0x3F404D8B	rtc_gpio_pullup_en
0x4D9E	0x3F404D9E	rtc_gpio_deinit
0x4DAE	0x3F404DAE	rtcio_ll_function_select
0x4F8A	0x3F404F8A	!(is_rs485_mode && disabled && uart_hal_get_intraw_mask(&(uart_context[uart_num].hal)) & UART_INTR_TX_DONE)
0x5238	0x3F405238	uart_set_rx_timeout
0x524C	0x3F40524C	uart_set_rx_full_threshold
0x5267	0x3F405267	uart_driver_delete
0x527A	0x3F40527A	uart_driver_install
0x528E	0x3F40528E	uart_flush_input
0x529F	0x3F40529F	uart_get_tx_buffer_free_size
0x52BC	0x3F4052BC	uart_get_buffered_data_len
0x52D7	0x3F4052D7	uart_reenable_intr_mask
0x52EF	0x3F4052EF	uart_read_bytes
0x52FF	0x3F4052FF	uart_write_bytes
0x5310	0x3F405310	uart_wait_tx_done
0x5322	0x3F405322	uart_wait_tx_done
0x5334	0x3F405334	uart_intr_config
0x5345	0x3F405345	uart_param_config
0x5357	0x3F405357	gpio_ll_iomux_func_sel
0x536E	0x3F40536E	uart_set_pin
0x537B	0x3F40537B	uart_isr_register
0x538D	0x3F40538D	uart_enable_tx_intr
0x53A1	0x3F4053A1	uart_pattern_queue_reset
