file_off	va	string
0x82DE	0x3F4082DE	wifi_init_default
0x83E5	0x3F4083E5	esp_netif_create_default_wifi_sta
0x8407	0x3F408407	esp_netif_create_default_wifi_ap
0x8428	0x3F408428	wifi_netif
0x852C	0x3F40852C	fromaddr != NULL
0x8568	0x3F408568	from != NULL
0x8575	0x3F408575	fromlen != NULL
0x8585	0x3F408585	sock->fd_used != 0
0x8598	0x3F408598	no socket given
0x85A8	0x3F4085A8	this should be checked internally
0x85CA	0x3F4085CA	invalid copylen, len would underflow
0x85EF	0x3F4085EF	invalid copylen
0x85FF	0x3F4085FF	unknown event
0x860D	0x3F40860D	Unknown socket option
0x8623	0x3F408623	select_cb->prev == NULL
0x863B	0x3F40863B	select_cb->prev != NULL
0x8653	0x3F408653	sockets[i].select_waiting == 0
0x8672	0x3F408672	sock->fd_used > 0
0x8684	0x3F408684	buf != NULL
0x8690	0x3F408690	sock != NULL
0x869D	0x3F40869D	nready >= 0
0x86A9	0x3F4086A9	sock->select_waiting > 0
0x86C2	0x3F4086C2	arg != NULL
0x86CE	0x3F4086CE	Unhandled netconn type in SO_BINDTODEVICE
0x86F8	0x3F4086F8	Invalid netif index
0x870C	0x3F40870C	sock->lastdata == NULL
0x8796	0x3F408796	sock_inc_used_locked
0x87B7	0x3F4087B7	event_callback
0x8809	0x3F408809	done_socket
0x8815	0x3F408815	free_socket_locked
0x8828	0x3F408828	alloc_socket
0x8835	0x3F408835	sock_inc_used
0x8843	0x3F408843	tcpip_thread: invalid message
0x888A	0x3F40888A	Invalid mbox
0x8897	0x3F408897	semaphore not initialized
0x88B1	0x3F4088B1	failed to create tcpip_thread mbox
0x88D8	0x3F4088D8	tcpip_thread_handle_msg
0x88F0	0x3F4088F0	tcpip_thread
0x88FD	0x3F4088FD	tcpip_init
0x8908	0x3F408908	tcpip_api_call
0x8917	0x3F408917	tcpip_send_msg_wait_sem
0x892F	0x3F40892F	tcpip_try_callback
0x8942	0x3F408942	tcpip_callback
0x8951	0x3F408951	tcpip_inpkt
0x8978	0x3F408978	malloc() must return aligned memory
0x89C4	0x3F4089C4	rmem != NULL
0x89D1	0x3F4089D1	rmem == MEM_ALIGN(rmem)
0x89E9	0x3F4089E9	mem_free
0x89F2	0x3F4089F2	mem_malloc
0x89FD	0x3F4089FD	memp_malloc: memp properly aligned
0x8A49	0x3F408A49	memp_free: mem properly aligned
0x8A69	0x3F408A69	do_memp_free_pool
0x8A7B	0x3F408A7B	do_memp_malloc_pool
0x8AFC	0x3F408AFC	netif_poll: invalid netif
0x8B40	0x3F408B40	bogus pbuf: len != tot_len but next == NULL!
0x8B6D	0x3F408B6D	netif->loop_cnt_current underflow
0x8B8F	0x3F408B8F	should not be null since first != last!
0x8BB7	0x3F408BB7	netif_loopif_init: invalid netif
0x8BD8	0x3F408BD8	netif_issue_reports: invalid netif
0x8BFB	0x3F408BFB	invalid pointer
0x8C0B	0x3F408C0B	netif already added
0x8C1F	0x3F408C1F	too many netifs, max. supported number is 255
0x8C4D	0x3F408C4D	netif_loop_output: invalid netif
0x8C6E	0x3F408C6E	netif_loop_output: invalid pbuf
0x8C8E	0x3F408C8E	if first != NULL, last must also be != NULL
0x8CBA	0x3F408CBA	netif != NULL
0x8CC8	0x3F408CC8	invalid index
0x8CD6	0x3F408CD6	netif_ip6_addr_set: invalid netif
0x8CF8	0x3F408CF8	netif_ip6_addr_set: invalid addr6
0x8D1A	0x3F408D1A	netif_get_ip6_addr_match: invalid netif
0x8D42	0x3F408D42	netif_get_ip6_addr_match: invalid ip6addr
0x8D6C	0x3F408D6C	netif_get_ip6_addr_match
0x8D85	0x3F408D85	netif_ip6_addr_set_state
0x8D9E	0x3F408D9E	netif_ip6_addr_set_parts
0x8DB7	0x3F408DB7	netif_ip6_addr_set
0x8DCA	0x3F408DCA	netif_poll
0x8DD5	0x3F408DD5	netif_loop_output
0x8DE7	0x3F408DE7	netif_issue_reports
0x8DFB	0x3F408DFB	netif_do_set_ipaddr
0x8E0F	0x3F408E0F	netif_add
0x8E19	0x3F408E19	netif_loopif_init
0x8E54	0x3F408E54	invalid pbuf_type
0x8E66	0x3F408E66	pbuf_free: p->ref > 0
0x8E7C	0x3F408E7C	pc->custom_free_function != NULL
0x8E9D	0x3F408E9D	invalid pbuf type
0x8EAF	0x3F408EAF	PBUF_POOL_BUFSIZE must be bigger than MEM_ALIGNMENT
0x8EE3	0x3F408EE3	pbuf_alloc: erroneous type
0x8EFE	0x3F408EFE	pbuf_realloc: p != NULL
0x8F16	0x3F408F16	pbuf_realloc: q != NULL
0x8F2E	0x3F408F2E	mem_trim returned q == NULL
0x8F4A	0x3F408F4A	pbuf ref overflow
0x8F5C	0x3F408F5C	p->tot_len == p->len (of last pbuf in chain)
0x8F89	0x3F408F89	offset_to <= p_to->len
0x8FA0	0x3F408FA0	offset_from <= p_from->len
0x8FBB	0x3F408FBB	pbuf_take: invalid pbuf
0x8FD3	0x3F408FD3	did not copy all data
0x8FE9	0x3F408FE9	check pbuf_skip result
0x9000	0x3F409000	pbuf_copy failed
0x9011	0x3F409011	pbuf_clone
0x901C	0x3F40901C	pbuf_take_at
0x9029	0x3F409029	pbuf_take
0x9033	0x3F409033	pbuf_copy_partial_pbuf
0x904A	0x3F40904A	pbuf_cat
0x9053	0x3F409053	pbuf_ref
0x905C	0x3F40905C	pbuf_free
0x9066	0x3F409066	pbuf_remove_header
0x9079	0x3F409079	pbuf_add_header_impl
0x908E	0x3F40908E	pbuf_realloc
0x909B	0x3F40909B	pbuf_alloc_reference
0x90B0	0x3F4090B0	pbuf_alloc
0x90BB	0x3F4090BB	raw pcb recv callback altered pbuf payload pointer without eating packet
0x912C	0x3F40912C	Can't restore header we just removed!
0x9152	0x3F409152	Checksum must fit into first pbuf
0x9174	0x3F409174	raw_sendto_if_src
0x9186	0x3F409186	raw_input
0x9190	0x3F409190	tcp_free: LISTEN
0x91C9	0x3F4091C9	pcb != NULL
0x91D5	0x3F4091D5	accepts_pending != 0
0x91EA	0x3F4091EA	tcp_update_rcv_ann_wnd: invalid pcb
0x920E	0x3F40920E	new_rcv_ann_wnd <= 0xffff
0x9228	0x3F409228	don't call tcp_recved for listen-pcbs
0x924E	0x3F40924E	tcp_seg_copy: invalid seg
0x9268	0x3F409268	invalid socket state for recv callback
0x928F	0x3F40928F	invalid socket state for sent callback
0x92B6	0x3F4092B6	invalid socket state for err callback
0x92DC	0x3F4092DC	invalid socket state for poll
0x92FA	0x3F4092FA	tcp_next_iss: invalid pcb
0x9314	0x3F409314	tcp_eff_send_mss_netif: invalid dst_ip
0x933B	0x3F40933B	tcp_pcb_remove: invalid pcb
0x9357	0x3F409357	tcp_pcb_remove: invalid pcblist
0x9377	0x3F409377	unsent segments leaking
0x938F	0x3F40938F	unacked segments leaking
0x93A8	0x3F4093A8	ooseq segments leaking
0x93BF	0x3F4093BF	don't call tcp_abort/tcp_abandon for listen-pcbs
0x93F0	0x3F4093F0	tcp_netif_ip_addr_changed_pcblist: invalid old_addr
0x9424	0x3F409424	tcp_close_shutdown: invalid pcb
0x9444	0x3F409444	pcb->flags & TF_RXCLOSED
0x945D	0x3F40945D	tcp_free_listen: !LISTEN
0x9476	0x3F409476	tcp_slowtmr: active pcb->state != CLOSED
0x94A0	0x3F4094A0	tcp_slowtmr: active pcb->state != LISTEN
0x94CA	0x3F4094CA	tcp_slowtmr: active pcb->state != TIME-WAIT
0x94F7	0x3F4094F7	tcp_slowtimr: persist ticking with in-flight data
0x9529	0x3F409529	tcp_slowtimr: persist ticking with empty send buffer
0x955E	0x3F40955E	tcp_slowtmr: middle tcp != tcp_active_pcbs
0x9589	0x3F409589	tcp_slowtmr: first pcb == tcp_active_pcbs
0x95B3	0x3F4095B3	tcp_slowtmr: TIME-WAIT pcb->state == TIME-WAIT
0x95E2	0x3F4095E2	tcp_slowtmr: middle tcp != tcp_tw_pcbs
0x9609	0x3F409609	tcp_slowtmr: first pcb == tcp_tw_pcbs
0x962F	0x3F40962F	tcp_netif_ip_addr_changed_pcblist
0x9651	0x3F409651	tcp_eff_send_mss_netif
0x9668	0x3F409668	tcp_next_iss
0x9675	0x3F409675	tcp_pcb_remove
0x9684	0x3F409684	tcp_poll
0x968D	0x3F40968D	tcp_err
0x9695	0x3F409695	tcp_sent
0x969E	0x3F40969E	tcp_recv
0x96A7	0x3F4096A7	tcp_seg_copy
0x96B4	0x3F4096B4	tcp_slowtmr
0x96C0	0x3F4096C0	tcp_recved
0x96CB	0x3F4096CB	tcp_update_rcv_ann_wnd
0x96E2	0x3F4096E2	tcp_abandon
0x96EE	0x3F4096EE	tcp_close_shutdown_fin
0x9705	0x3F409705	tcp_free_listen
0x9715	0x3F409715	tcp_close_shutdown
0x9728	0x3F409728	tcp_backlog_accepted
0x973D	0x3F40973D	tcp_free
0x976C	0x3F40976C	tcp_oos_insert_segment: invalid cseg
0x97BC	0x3F4097BC	tcp_parseopt: invalid pcb
0x97D6	0x3F4097D6	tcp_input_delayed_close: invalid pcb
0x97FB	0x3F4097FB	pcb->snd_queuelen >= pbuf_clen(next->p)
0x9823	0x3F409823	tcp_receive: valid queue length
0x9843	0x3F409843	tcp_receive: invalid pcb
0x985C	0x3F40985C	tcp_receive: wrong state
0x9875	0x3F409875	inseg.p != NULL
0x9885	0x3F409885	insane offset!
0x9894	0x3F409894	pbuf too short!
0x98A4	0x3F4098A4	tcp_receive: segment not trimmed correctly to rcv_wnd
0x98DB	0x3F4098DB	tcp_receive: segment not trimmed correctly to ooseq queue
0x9916	0x3F409916	tcp_receive: tcplen > rcv_wnd
0x9935	0x3F409935	tcp_receive: ooseq tcplen > rcv_wnd
0x995A	0x3F40995A	tcp_input: invalid pbuf
0x9972	0x3F409972	p->next != NULL
0x9982	0x3F409982	p->len == 0
0x998E	0x3F40998E	p->tot_len == p->next->tot_len
0x99AD	0x3F4099AD	tcp_input: active pcb->state != CLOSED
0x99D4	0x3F4099D4	tcp_input: active pcb->state != TIME-WAIT
0x99FE	0x3F4099FE	tcp_input: active pcb->state != LISTEN
0x9A25	0x3F409A25	tcp_input: pcb->next != pcb (before cache)
0x9A50	0x3F409A50	tcp_input: pcb->next != pcb (after cache)
0x9A7A	0x3F409A7A	tcp_input: TIME-WAIT pcb->state == TIME-WAIT
0x9AA7	0x3F409AA7	tcp_input: pcb->state != CLOSED
0x9AC7	0x3F409AC7	pcb->snd_queuelen > 0
0x9ADD	0x3F409ADD	no segment to free
0x9AF0	0x3F409AF0	pcb->listener->accept != NULL
0x9B0E	0x3F409B0E	pcb->refused_data == NULL
0x9B28	0x3F409B28	tcp_input_delayed_close
0x9B40	0x3F409B40	tcp_oos_insert_segment
0x9B57	0x3F409B57	tcp_free_acked_segments
0x9B6F	0x3F409B6F	tcp_receive
0x9B7B	0x3F409B7B	tcp_process
0x9B87	0x3F409B87	tcp_parseopt
0x9B94	0x3F409B94	tcp_input
0x9B9E	0x3F409B9E	tcp_create_segment: invalid pcb
0x9BEA	0x3F409BEA	tcp_create_segment: invalid pbuf
0x9C0B	0x3F409C0B	p->tot_len >= optlen
0x9C20	0x3F409C20	check that first pbuf can hold struct tcp_hdr
0x9C4E	0x3F409C4E	tcp_output_control_segment: invalid pbuf
0x9C77	0x3F409C77	tcp_output_segment_busy: invalid seg
0x9C9C	0x3F409C9C	tcp_output_alloc_header: invalid pcb
0x9CC1	0x3F409CC1	tcp_output_fill_options: invalid pbuf
0x9CE7	0x3F409CE7	tcp_write: pbufs on queue => at least one queue non-empty
0x9D21	0x3F409D21	tcp_write: no pbufs on queue => both queues empty
0x9D53	0x3F409D53	mss_local is too small
0x9D6A	0x3F409D6A	inconsistent oversize vs. space
0x9D8A	0x3F409D8A	inconsistent oversize vs. len
0x9DA8	0x3F409DA8	unsent_oversize mismatch (pcb->unsent is NULL)
0x9DD7	0x3F409DD7	need unchained pbuf
0x9DEB	0x3F409DEB	prev_seg != NULL
0x9DFC	0x3F409DFC	tcp_write: valid queue length
0x9E1A	0x3F409E1A	tcp_split_unsent_seg: invalid pcb
0x9E3C	0x3F409E3C	Can't split segment into length 0
0x9E5E	0x3F409E5E	split <= mss
0x9E6B	0x3F409E6B	useg->len > 0
0x9E79	0x3F409E79	tcp_enqueue_flags: need either TCP_SYN or TCP_FIN in flags (programmer violates API)
0x9ECE	0x3F409ECE	tcp_enqueue_flags: invalid pcb
0x9EED	0x3F409EED	tcp_enqueue_flags: check that first pbuf can hold optlen
0x9F26	0x3F409F26	seg->tcphdr not aligned
0x9F3E	0x3F409F3E	tcp_enqueue_flags: invalid segment length
0x9F68	0x3F409F68	tcp_enqueue_flags: invalid queue length
0x9F90	0x3F409F90	tcp_send_fin: invalid pcb
0x9FAA	0x3F409FAA	tcp_rexmit_rto_prepare: invalid pcb
0x9FCE	0x3F409FCE	tcp_rexmit: invalid pcb
0x9FE6	0x3F409FE6	tcp_rexmit_fast: invalid pcb
0xA003	0x3F40A003	tcp_rst: invalid local_ip
0xA01D	0x3F40A01D	tcp_rst: invalid remote_ip
0xA038	0x3F40A038	tcp_send_empty_ack: invalid pcb
0xA058	0x3F40A058	tcp_output: invalid pcb
0xA070	0x3F40A070	don't call tcp_output for listen-pcbs
0xA096	0x3F40A096	RST not expected here!
0xA0AD	0x3F40A0AD	options not filled
0xA0C0	0x3F40A0C0	tcp_rexmit_rto_commit: invalid pcb
0xA0E3	0x3F40A0E3	tcp_rexmit_rto: invalid pcb
0xA0FF	0x3F40A0FF	tcp_keepalive: invalid pcb
0xA11A	0x3F40A11A	tcp_zero_window_probe: invalid pcb
0xA13D	0x3F40A13D	tcp_zero_window_probe
0xA153	0x3F40A153	tcp_keepalive
0xA161	0x3F40A161	tcp_output_alloc_header
0xA179	0x3F40A179	tcp_send_empty_ack
0xA18C	0x3F40A18C	tcp_output_control_segment
0xA1A7	0x3F40A1A7	tcp_output_fill_options
0xA1BF	0x3F40A1BF	tcp_output_alloc_header_common
0xA1DE	0x3F40A1DE	tcp_rst
0xA1E6	0x3F40A1E6	tcp_rexmit_fast
0xA1F6	0x3F40A1F6	tcp_rexmit
0xA201	0x3F40A201	tcp_rexmit_rto
0xA210	0x3F40A210	tcp_rexmit_rto_commit
0xA226	0x3F40A226	tcp_rexmit_rto_prepare
0xA23D	0x3F40A23D	tcp_output_segment_busy
0xA255	0x3F40A255	tcp_output_segment
0xA268	0x3F40A268	tcp_output
0xA273	0x3F40A273	tcp_enqueue_flags
0xA285	0x3F40A285	tcp_send_fin
0xA292	0x3F40A292	tcp_split_unsent_seg
0xA2A7	0x3F40A2A7	tcp_create_segment
0xA2BA	0x3F40A2BA	tcp_pbuf_prealloc
0xA2CC	0x3F40A2CC	tcp_write_checks
0xA2DD	0x3F40A2DD	tcp_write
0xA2E7	0x3F40A2E7	sys_timeout: timeout != NULL, pool MEMP_SYS_TIMEOUT is empty
0xA351	0x3F40A351	Timeout time too long, max is LWIP_UINT32_MAX/4 msecs
0xA387	0x3F40A387	sys_timeout
0xA393	0x3F40A393	sys_timeout_abs
0xA3D3	0x3F40A3D3	@udp_input_local_match: invalid pcb
0xA41F	0x3F40A41F	udp_input_local_match: invalid netif
0xA444	0x3F40A444	udp_input: invalid pbuf
0xA45C	0x3F40A45C	udp_input: invalid netif
0xA475	0x3F40A475	pbuf_remove_header failed
0xA490	0x3F40A490	check that first pbuf can hold struct udp_hdr
0xA4BE	0x3F40A4BE	udp_sendto_if_src
0xA4D0	0x3F40A4D0	udp_input_local_match
0xA4E6	0x3F40A4E6	udp_input
0xA4F0	0x3F40A4F0	dhcp_option_short: options_out_len + 2 <= DHCP_OPTIONS_LEN
0xA559	0x3F40A559	dhcp_option: options_out_len + 2 + option_len <= DHCP_OPTIONS_LEN
0xA59B	0x3F40A59B	dhcp_option_byte: options_out_len < DHCP_OPTIONS_LEN
0xA5D0	0x3F40A5D0	dhcp_option_long: options_out_len + 4 <= DHCP_OPTIONS_LEN
0xA60A	0x3F40A60A	dhcp_pcb_refcount(): refcount error
0xA62E	0x3F40A62E	dhcp_inc_pcb_refcount(): memory leak
0xA653	0x3F40A653	dhcp_create_msg: check that first pbuf can hold struct dhcp_msg
0xA693	0x3F40A693	DHCP: hostname is too long!
0xA6AF	0x3F40A6AF	invalid server address type
0xA6CB	0x3F40A6CB	check decode_idx
0xA6DC	0x3F40A6DC	dhcp != NULL
0xA6E9	0x3F40A6E9	netif already has a struct dhcp set
0xA70D	0x3F40A70D	invalid dhcp->state
0xA721	0x3F40A721	dhcp_network_changed
0xA736	0x3F40A736	dhcp_parse_reply
0xA747	0x3F40A747	dhcp_recv
0xA751	0x3F40A751	dhcp_inc_pcb_refcount
0xA767	0x3F40A767	dhcp_dec_pcb_refcount
0xA77D	0x3F40A77D	dhcp_cleanup
0xA78A	0x3F40A78A	dhcp_set_struct
0xA79A	0x3F40A79A	dhcp_option_long
0xA7AB	0x3F40A7AB	dhcp_option_hostname
0xA7C0	0x3F40A7C0	dhcp_option_byte
0xA7D1	0x3F40A7D1	dhcp_option
0xA7DD	0x3F40A7DD	dhcp_option_short
0xA7EF	0x3F40A7EF	dhcp_create_msg
0xA803	0x3F40A803	*r->p != NULL
0xA841	0x3F40A841	arp_table[i].q == NULL
0xA858	0x3F40A858	arp_table[i].state == ETHARP_STATE_EMPTY
0xA881	0x3F40A881	check that first pbuf can hold struct etharp_hdr
0xA8B2	0x3F40A8B2	netif->hwaddr_len must be the same as ETH_HWADDR_LEN for etharp!
0xA8F3	0x3F40A8F3	ipaddr != NULL
0xA902	0x3F40A902	eth_ret != NULL
0xA912	0x3F40A912	netif->hwaddr_len == ETH_HWADDR_LEN
0xA936	0x3F40A936	arp_table[arp_idx].state >= ETHARP_STATE_STABLE
0xA966	0x3F40A966	type overflow
0xA974	0x3F40A974	no packet queues allowed!
0xA98E	0x3F40A98E	etharp_query
0xA99B	0x3F40A99B	etharp_output_to_arp_index
0xA9B6	0x3F40A9B6	etharp_output
0xA9C4	0x3F40A9C4	etharp_raw
0xA9CF	0x3F40A9CF	etharp_update_arp_entry
0xA9E7	0x3F40A9E7	etharp_find_entry
0xA9F9	0x3F40A9F9	free_etharp_q
0xAA07	0x3F40AA07	icmp_input: moving r->payload to icmp header failed
0xAA6A	0x3F40AA6A	icmp_input: restoring original p->payload failed
0xAA9C	0x3F40AA9C	check that first pbuf can hold icmp message
0xAAC8	0x3F40AAC8	icmp_send_response
0xAADB	0x3F40AADB	icmp_input
0xAAE6	0x3F40AAE6	igmp_send: check that first pbuf can hold struct igmp_msg
0xAB4E	0x3F40AB4E	igmp_lookup_group: first group must be allsystems
0xAB80	0x3F40AB80	igmp_lookup_group: all except first group must not be allsystems
0xABC1	0x3F40ABC1	igmp_send
0xABCB	0x3F40ABCB	igmp_lookup_group
0xABDD	0x3F40ABDD	p->ref == 1
0xAC16	0x3F40AC16	check that first pbuf can hold struct ip_hdr
0xAC43	0x3F40AC43	ip4_output_if_opt_src
0xAC8C	0x3F40AC8C	this needs a pbuf in one piece!
0xACDE	0x3F40ACDE	ip4_frag
0xACE7	0x3F40ACE7	check that first pbuf can hold icmp6 header
0xAD42	0x3F40AD42	icmpv6 packet not a direct response
0xAD66	0x3F40AD66	icmp6_send_response_with_addrs_and_netif
0xAD8F	0x3F40AD8F	icmp6_send_response
0xADD0	0x3F40ADD0	check that first pbuf can hold struct ip6_hdr
0xADFE	0x3F40ADFE	ip6_output_if_src
0xAE28	0x3F40AE28	p->tot_len >= IP6_HLEN
0xAE71	0x3F40AE71	ip6_frag
0xAEA7	0x3F40AEA7	q->p != NULL
0xAEB4	0x3F40AEB4	bad valid lifetime
0xAEC7	0x3F40AEC7	selected router must have a neighbor entry
0xAEF2	0x3F40AEF2	nd6_get_next_hop_entry
0xAF09	0x3F40AF09	nd6_find_route
0xAF18	0x3F40AF18	nd6_free_q
0xAF23	0x3F40AF23	nd6_process_autoconfig_prefix
0xAF41	0x3F40AF41	netif->hwaddr_len must be 6 for ethernet_output!
0xAFA0	0x3F40AFA0	ethernet_output
0xAFBC	0x3F40AFBC	failed to take the mutex
0xB008	0x3F40B008	failed to give the mutex
0xB021	0x3F40B021	initial_count invalid (neither 0 nor 1)
0xB049	0x3F40B049	sys_sem_new: initial give failed
0xB06A	0x3F40B06A	sys_sem_signal: sane return value
0xB08C	0x3F40B08C	taking semaphore failed
0xB0A4	0x3F40B0A4	mbox post failed
0xB0B5	0x3F40B0B5	mbox fetch failed
0xB0C7	0x3F40B0C7	mbox quence not empty
0xB178	0x3F40B178	sys_thread_tcpip
0xB189	0x3F40B189	sys_mbox_free
0xB197	0x3F40B197	sys_arch_mbox_tryfetch
0xB1AE	0x3F40B1AE	sys_arch_mbox_fetch
0xB1C2	0x3F40B1C2	sys_mbox_post
0xB1D0	0x3F40B1D0	sys_arch_sem_wait
0xB1E2	0x3F40B1E2	sys_sem_signal
0xB1F1	0x3F40B1F1	sys_sem_new
0xB1FD	0x3F40B1FD	sys_mutex_unlock
0xB20E	0x3F40B20E	sys_mutex_lock
0xB21D	0x3F40B21D	dhcp_state
0xB256	0x3F40B256	wlanif_init
0xB262	0x3F40B262	esp_vfs_register_fd_range(&vfs, NULL, LWIP_SOCKET_OFFSET, MAX_FDS)
0xB2ED	0x3F40B2ED	dhcps_start(): could not obtain pcb
0xB311	0x3F40B311	dhcps: Illegal subnet mask.
0xB32D	0x3F40B32D	dhcps_stop: apnetif == NULL
0xB349	0x3F40B349	pre != NULL && pre->pnext != NULL
0xB39D	0x3F40B39D	kill_oldest_dhcps_pool
0xB3B6	0x3F40B3B6	Scfreeing conn without freeing pcb
0xB404	0x3F40B404	conn has no recvmbox
0xB419	0x3F40B419	conn->acceptmbox shouldn't exist
0xB43A	0x3F40B43A	do_write failed to write all bytes
0xB45D	0x3F40B45D	netconn_write_vectors_partly
0xB47A	0x3F40B47A	netconn_recv_data
0xB48C	0x3F40B48C	netconn_new_with_proto_and_callback
0xB4B0	0x3F40B4B0	recv_udp must have a pcb argument
0xB4FD	0x3F40B4FD	recv_udp must have an argument
0xB51C	0x3F40B51C	recv_udp: recv for wrong pcb!
0xB53A	0x3F40B53A	invalid conn
0xB547	0x3F40B547	this is for tcp netconns only
0xB565	0x3F40B565	conn must be in state NETCONN_CLOSE
0xB589	0x3F40B589	pcb already closed
0xB59C	0x3F40B59C	Closing a listen pcb may not fail!
0xB5BF	0x3F40B5BF	recv_tcp must have a pcb argument
0xB5E1	0x3F40B5E1	recv_tcp must have an argument
0xB600	0x3F40B600	err != ERR_OK unhandled
0xB618	0x3F40B618	recv_tcp: recv for wrong pcb!
0xB636	0x3F40B636	conn != NULL
0xB643	0x3F40B643	unhandled error
0xB653	0x3F40B653	inavlid op_completed_sem
0xB66C	0x3F40B66C	conn->current_msg == NULL
0xB686	0x3F40B686	conn->pcb.tcp != NULL
0xB69C	0x3F40B69C	conn->current_msg->msg.w.offset < conn->current_msg->msg.w.len
0xB6DB	0x3F40B6DB	conn->current_msg->msg.w.vector_cnt > 0
0xB72E	0x3F40B72E	err != NULL
0xB73A	0x3F40B73A	netconn_alloc: undefined netconn_type
0xB760	0x3F40B760	PCB must be deallocated outside this function
0xB78E	0x3F40B78E	recvmbox must be deallocated before calling this function
0xB7C8	0x3F40B7C8	acceptmbox must be deallocated before calling this function
0xB804	0x3F40B804	netconn marked closed
0xB81A	0x3F40B81A	netconn state error
0xB82E	0x3F40B82E	msg->conn->current_msg != NULL
0xB84D	0x3F40B84D	already writing or closing
0xB868	0x3F40B868	msg->msg.w.len != 0
0xB87C	0x3F40B87C	invalid netconn_type
0xB891	0x3F40B891	msg->msg.sd.shut == NETCONN_SHUT_RD
0xB911	0x3F40B911	netconn_drain
0xB91F	0x3F40B91F	netconn_free
0xB92C	0x3F40B92C	netconn_alloc
0xB93A	0x3F40B93A	recv_tcp
0xB943	0x3F40B943	sent_tcp
0xB985	0x3F40B985	poll_tcp
0xB9A6	0x3F40B9A6	err_tcp
0xB9AE	0x3F40B9AE	recv_udp
0xBA18	0x3F40BA18	check that first pbuf can hold size
0xBA66	0x3F40BA66	netbuf_alloc
0xBA73	0x3F40BA73	i == 0 || s_log_cache[(i - 1) / 2].generation < s_log_cache[i].generation
0xBAD7	0x3F40BAD7	get_cached_log_level
0xBAEC	0x3F40BAEC	esp_log_level_set
0xBAFE	0x3F40BAFE	esp_ptr_in_diram_dram((void *)dstart)
0xBB45	0x3F40BB45	esp_ptr_in_diram_dram((void *)dend)
0xBB69	0x3F40BB69	(dstart & 3) == 0
0xBB8B	0x3F40BB8B	heap != NULL && "free() target pointer is outside heap areas"
0xBBC9	0x3F40BBC9	heap != NULL && "realloc() pointer is outside heap areas"
0xBC03	0x3F40BC03	old_size > 0
0xBC10	0x3F40BC10	heap_caps_calloc
0xBC21	0x3F40BC21	heap_caps_realloc
0xBC33	0x3F40BC33	heap_caps_free
0xBC42	0x3F40BC42	heap_caps_realloc_base
0xBC59	0x3F40BC59	heap_caps_realloc_default
0xBC73	0x3F40BC73	heap_caps_malloc_default
0xBC8C	0x3F40BC8C	dram_alloc_to_iram_addr
0xBCA4	0x3F40BCA4	heap_caps_malloc
0xBCB5	0x3F40BCB5	heap_size <= HEAP_SIZE_MAX
0xBCF6	0x3F40BCF6	heap_idx <= num_heaps
0xBD0C	0x3F40BD0C	heap_idx == num_heaps
0xBD22	0x3F40BD22	SLIST_EMPTY(&registered_heaps)
0xBD41	0x3F40BD41	heaps_array != NULL
0xBD55	0x3F40BD55	heap_caps_init
0xBD64	0x3F40BD64	register_heap
0xBD72	0x3F40BD72	CORRUPT HEAP: multi_heap.c:%d detected at 0x%08x
0xBDA4	0x3F40BDA4	start_ptr
0xBDD0	0x3F40BDD0	heap != NULL
0xBDDD	0x3F40BDDD	multi_heap_realloc_impl
0xBDF5	0x3F40BDF5	multi_heap_register_impl
0xBE29	0x3F40BE29	tlsf_add_pool: Memory must be aligned by %u bytes.
0xBE5D	0x3F40BE5D	tlsf_add_pool: Memory size must be between %u and %u bytes.
0xBE9A	0x3F40BE9A	current && "free list cannot have a null entry"
0xBEEB	0x3F40BEEB	block_to_ptr(block) == align_ptr(block_to_ptr(block), ALIGN_SIZE) && "block not aligned properly"
0xBF4D	0x3F40BF4D	block_is_free(block) && "block should be free"
0xBF7C	0x3F40BF7C	!block_is_free(block_next(block)) && "next block should not be free"
0xBFC1	0x3F40BFC1	block_size(block_next(block)) == 0 && "next block size should be zero"
0xC008	0x3F40C008	prev && "prev_free field can not be null"
0xC032	0x3F40C032	next && "next_free field can not be null"
0xC05C	0x3F40C05C	tlsf_create: Memory must be aligned to %u bytes.
0xC08E	0x3F40C08E	sizeof(unsigned int) * CHAR_BIT >= control->sl_index_count && "CHAR_BIT less than sl_index_count"
0xC0F0	0x3F40C0F0	ALIGN_SIZE == control->small_block_size / control->sl_index_count && "ALIGN_SIZE does not match"
0xC151	0x3F40C151	sl_map && "internal error - second level bitmap is null"
0xC18A	0x3F40C18A	block_size(block) >= size
0xC1A4	0x3F40C1A4	block_is_free(block) && "block must be free"
0xC1D1	0x3F40C1D1	block_to_ptr(remaining) == align_ptr(block_to_ptr(remaining), ALIGN_SIZE) && "remaining block not aligned properly"
0xC245	0x3F40C245	block_size(block) == remain_size + size + block_header_overhead
0xC285	0x3F40C285	block_size(remaining) >= block_size_min && "block split with invalid size"
0xC2D0	0x3F40C2D0	!block_is_free(block) && "block already marked as free"
0xC308	0x3F40C308	prev && "prev physical block can't be null"
0xC334	0x3F40C334	block_is_free(prev) && "prev block is not free though marked as such"
0xC37A	0x3F40C37A	!block_is_last(prev) && "previous block can't be last"
0xC3B1	0x3F40C3B1	next && "next physical block can't be null"
0xC3DD	0x3F40C3DD	!block_is_last(block) && "previous block can't be last"
0xC415	0x3F40C415	!block_is_free(block) && "block must be used"
