file_off	va	region	length	string
0x3498	0x3F403498	DROM	27	uart_flush_input(uart->num)
0x34B4	0x3F4034B4	DROM	94	uart_driver_install(uart_nr, rx_buffer_size, tx_buffer_size, 20, &(uart->uart_event_queue), 0)
0x3513	0x3F403513	DROM	40	uart_param_config(uart_nr, &uart_config)
0x353C	0x3F40353C	DROM	75	uart_set_pin(uart_nr, txPin, rxPin, UART_PIN_NO_CHANGE, UART_PIN_NO_CHANGE)
0x3588	0x3F403588	DROM	73	uart_set_line_inverse(uart_nr, UART_SIGNAL_TXD_INV | UART_SIGNAL_RXD_INV)
0x3618	0x3F403618	DROM	15	uartFlushTxOnly
0x3628	0x3F403628	DROM	9	uartBegin
0x3632	0x3F403632	DROM	22	gpio_ll_iomux_func_sel
0x3649	0x3F403649	DROM	8	loopTask
0x3652	0x3F403652	DROM	149	(pxRingbuffer->xItemsWaiting > 0) && ((pxRingbuffer->pucRead != pxRingbuffer->pucWrite) || (pxRingbuffer->uxRingbufferFlags & ( ( UBaseType_t ) 4 )))
0x36E8	0x3F4036E8	DROM	37	/IDF/components/esp_ringbuf/ringbuf.c
0x370E	0x3F40370E	DROM	95	pxRingbuffer->pucRead >= pxRingbuffer->pucHead && pxRingbuffer->pucRead < pxRingbuffer->pucTail
0x376E	0x3F40376E	DROM	46	pxRingbuffer->pucRead == pxRingbuffer->pucFree
0x379D	0x3F40379D	DROM	49	( ( ( UBaseType_t ) ( pucItem ) & (0x03) ) == 0 )
0x37CF	0x3F4037CF	DROM	32	pucItem <= pxRingbuffer->pucTail
0x37F0	0x3F4037F0	DROM	51	pxCurHeader->xItemLen <= pxRingbuffer->xMaxItemSize
0x3824	0x3F403824	DROM	55	(pxCurHeader->uxItemFlags & ( ( UBaseType_t ) 2 )) == 0
0x385C	0x3F40385C	DROM	55	(pxCurHeader->uxItemFlags & ( ( UBaseType_t ) 1 )) == 0
0x3894	0x3F403894	DROM	68	pxRingbuffer->pucFree <= pxRingbuffer->pucHead + pxRingbuffer->xSize
0x38D9	0x3F4038D9	DROM	24	pxIsSplit != ((void *)0)
0x38F2	0x3F4038F2	DROM	63	( ( ( UBaseType_t ) ( pxRingbuffer->pucRead ) & (0x03) ) == 0 )
0x3932	0x3F403932	DROM	101	(pxHeader->xItemLen <= pxRingbuffer->xMaxItemSize) || (pxHeader->uxItemFlags & ( ( UBaseType_t ) 2 ))
